0.98,0.74,0.56,0.4,0.28,0.24,0.18,0.26,0.02,0.12
0.7,0.48,0.28,0.28,0.06,0,0.08,0.06,0.04,0.1
1,1,0.56,0.66,0.3,0.16,0.16,0.14,0,0.08
1,1,0.76,0.86,0.58,0.32,0.14,0.38,0.06,0.24
0.34,0.2,0.16,0.18,0.22,0,0.08,0.1,0.02,0.06
1,1,0.98,0.9,0.84,0.2,0.18,0.32,0.04,0.04
1,0.94,0.84,0.84,0.56,0.06,0.08,0.2,0.04,0.04
1,1,1,1,0.9,0.32,0.18,0.24,0.06,0.1
1,1,1,1,0.7,0.46,0.22,0.2,0.16,0.08
1,1,1,0.98,0.82,0.26,0.28,0.28,0.16,0.04
1,1,1,0.94,0.86,0.16,0.14,0.14,0.06,0.16
1,1,1,1,0.9,0.18,0.28,0.16,0.14,0.12
1,1,0.96,0.94,0.86,0.18,0.32,0.18,0.08,0.12
1,1,1,0.72,0.38,0.08,0.06,0.1,0.04,0.1
1,1,1,0.98,0.94,0.28,0.28,0.1,0.12,0.1
1,1,1,0.96,0.86,0.26,0.22,0.06,0.16,0.08
0.98,1,0.52,0.78,0.5,0.2,0.08,0.1,0.22,0.08
1,1,0.96,0.8,0.68,0.52,0.22,0.14,0.06,0.08
1,1,0.88,0.82,0.72,0.34,0.16,0.36,0.14,0.14
0.78,0.56,0.38,0.32,0.2,0.06,0.08,0.14,0.12,0.06
1,1,0.96,0.8,0.78,0.48,0.12,0.06,0.14,0
1,1,0.94,0.82,0.7,0.46,0.18,0.1,0.1,0.06
0.94,0.66,0.42,0.2,0.08,0.02,0,0.12,0.08,0.1
1,0.76,0.9,0.1,0.2,0.3,0.22,0.1,0.12,0.16
1,1,1,0.98,0.54,0.48,0.14,0.14,0.04,0.02
1,1,1,0.88,0.7,0.68,0.24,0.18,0.16,0.18
1,0.94,1,0.94,0.32,0.5,0.12,0.3,0.06,0.1
1,0.96,0.68,0.36,0.16,0.12,0.16,0.06,0.1,0.06
1,1,0.94,0.94,0.48,0.18,0.16,0.08,0.12,0.14
1,0.96,0.98,0.9,0.48,0.22,0.14,0.16,0.04,0.06
0.14,0.1,0.06,0.04,0.06,0.02,0.02,0.02,0.06,0.02
1,1,0.96,0.98,0.36,0.36,0.12,0.14,0.14,0.08
1,0.96,0.88,0.72,0.24,0.3,0.12,0.04,0.08,0.08
